context,question,answers
Answer in Hindi and English.,उत्तराखंड का पुराना नाम क्या था? || What was the old name of Uttarakhand?,"Hindi: उत्तराखंड का पुराना नाम उत्तरांचल है, जिसे 2007 तक आधिकारिक रूप से प्रयोग किया जाता है।
English: The old name of Uttarakhand is Uttaranchal, which was officially used until 2007."
Answer in Hindi and English.,उत्तराखंड की सीमा किन-किन देशों से लगती है? || Which countries share their border with Uttarakhand?,"Hindi: उत्तराखंड की सीमा तिब्बत (चीन) और नेपाल से लगती है।
English: Uttarakhand shares its borders with Tibet (China) and Nepal."
Answer in Hindi and English.,उत्तराखंड का कुल क्षेत्रफल कितना है? || What is the total area of Uttarakhand?,"Hindi: उत्तराखंड का कुल क्षेत्रफल 53,483 वर्ग किलोमीटर है, जो भारत के कुल क्षेत्रफल का 1.6% है।
English: Uttarakhand has a total area of 53,483 square kilometers, which is 1.6% of India's total area."
Answer in Hindi and English.,उत्तराखंड की राजधानी क्या है? || What is the capital of Uttarakhand?,"Hindi: उत्तराखंड की राजधानी देहरादून है।
English: The capital of Uttarakhand is Dehradun."
Answer in Hindi and English.,उत्तराखंड की न्यायिक राजधानी कौन सी है? || What is the judicial capital of Uttarakhand?,"Hindi: उत्तराखंड की न्यायिक राजधानी नैनीताल है।
English: Nainital is the judicial capital of Uttarakhand."
Answer in Hindi and English.,उत्तराखंड को कितने मंडलों में बांटा गया है? || Into how many divisions is Uttarakhand divided?,"Hindi: उत्तराखंड को दो मंडलों में बांटा गया है - गढ़वाल और कुमाऊं।
English: Uttarakhand is divided into two divisions - Garhwal and Kumaon."
Answer in Hindi and English.,उत्तराखंड में कुल कितने जिले हैं? || How many districts are there in Uttarakhand?,"Hindi: उत्तराखंड में कुल 13 जिले हैं।
English: There are a total of 13 districts in Uttarakhand."
Answer in Hindi and English.,उत्तराखंड का वन आवरण कितने प्रतिशत है? || What percentage of Uttarakhand is covered by forests?,"Hindi: उत्तराखंड का 45.4% भाग वनों से आच्छादित है।
English: 45.4% of Uttarakhand is covered by forests."
Answer in Hindi and English.,उत्तराखंड की कुल भौगोलिक क्षेत्रफल का कितना प्रतिशत भाग कृषि योग्य है? || What percentage of Uttarakhand's total geographical area is cultivable?,"Hindi: उत्तराखंड की कुल भौगोलिक क्षेत्रफल का 16% भाग कृषि योग्य है।
English: 16% of Uttarakhand's total geographical area is cultivable."
Answer in Hindi and English.,उत्तराखंड की दो प्रमुख नदियाँ कौन-सी हैं? || Which are the two major rivers of Uttarakhand?,"Hindi: उत्तराखंड की दो प्रमुख नदियाँ गंगा और यमुना हैं।
English: The two major rivers of Uttarakhand are Ganges and Yamuna."
Answer in Hindi and English.,गंगा और यमुना नदियों का उद्गम स्थल कहाँ है? || Where do the Ganges and Yamuna rivers originate from?,"Hindi: गंगा नदी गंगोत्री ग्लेशियर से और यमुना नदी यमुनोत्री ग्लेशियर से निकलती है।
English: The Ganges river originates from the Gangotri glacier and the Yamuna river originates from the Yamunotri glacier."
